GUID,Val1+Val2,IsDuplicateGuid (Y or N),Is Val3 length greater than the average length of Val3 (Y or N)
LIQPXKSYZASD23FQBXP2QL4RZILM72GB,753818,N,N
HZ021OM8JUVO1AE3N2FZO76MQYJ4BQIU,781304,N,N
M86BJDY2VW1JU83CBTO4YR5JUIC25TZR,1844966,N,N
V689O89AHOM8COHEVRSZU194U27L9VCF,1158725,N,N
RZSBFC2YB89G24EBQK1QKH0P52Y6OSX8,376058,N,Y
BMU462F3QGB69DN1DA2O9Z4Q0NNDLCX0,315718,N,N
3DBP3YJTH8LS1YXOYAU281TGQAYE68P4,546587,N,Y
68QG8I6GT1VEA6QL20GHUC5PKMPLMB07,1236413,N,N
MTZS84M8E7JN8UOZV1G7E492BOVBJLWN,1240048,N,N
K2YYHVQZSMXQETWKCNH6YC9T7LBPWOZW,1818764,N,Y
F4EC8MHXC6TSBAPWDV3FZRSSF2SWBD6Z,623574,N,Y
TLCRQ9VJEAXABUERK5KSWBKJAUJIF7NU,1070783,N,Y
9ZLDNYPCRJOK1DFM29CJA7VWPA5G5X8L,848090,N,N
Z1INHITBWK9GS4HMWMRODOMF0VTB0XVZ,1208573,N,N
8I7S3JHYOPP7LRR1L279WO4SIQD50MZX,281879,N,Y
6P66YJA1OASW2IBZF32U2VKHZKJ1JF4V,1571499,N,N
Y340FETD4RQJX5NYX8N34IITQ0NKEONN,666303,N,N
DR0IDEDUB22F4EN9VL1QX3JAQAN6JOBI,773248,N,N
R3B87BFZQP3RXZL26L0XKL0VW4W2IEVB,1417629,N,Y
IWZT0YM4W4WVJH4BBOTTOWSKQQS4RTYG,1710899,N,N
VMQW3GN9YT9V2J1G1T3Y1XTQ0DBUELVB,837470,N,N
I9032AJC0M89NXY7IVOV841LKH0IYH3I,562555,N,Y
93J3TJTMQTRR0DSYI3AP4D119Z284ERE,1383169,N,Y
44F2B14ZZUGQWMRC0FD4TRBUF5UM2WEG,1389559,N,N
71JY3HMCRV0V0JEJ20LFTRA5VT552DN9,1257411,N,N
YK1NA4QYO09ZOU5619ZYIE8QJKCU8L8U,791833,N,Y
YFOHOEIL7QRKAXBLH741C7UU2U0D6M74,1399896,N,Y
YZD1MBX97BCEFRS6YLSYFET06WXI5P9E,517934,N,Y
DYZ2EHMYI14HOYJBJIRAI8CUUFJ5D0NZ,953212,N,Y
S6X69F5A4PCKWSPLBLKW7QRE9VYUFMI2,524864,N,Y
8GMSNPM98X1EQ48KKXWK08K5V2CWNNPW,1423133,N,N
ELVR2LSUC8TAQ1141HHHYYOHTVKML129,1633509,N,N
68YZJ5NXGRSVM4C0AWY9UAP5ZRJZ81QC,815513,N,N
GTR1VY6EOE3U5DMQFVBCOR7KYPL7LFF9,517326,N,N
MTZ7IRTNGU5M1BSHKFK19NG75Q57ZD2W,956769,N,N
Z9EAIBHYX114JVDK7HXYJEKYHCCPQAMN,973951,N,N
YR2YNJ7T1MTE2BSEC0YTC0CDSJJAI18Q,1651158,N,N
4HM392YQJF80520OTDZ4TGEK4CKZSFRY,966005,N,N
8X2C2YIC58HMOA3LHF90PSG7RQNA50PF,319131,N,N
V6221TCCUBS6UL1677T61XLRKI88NFEH,299746,N,Y
SOHMYJKHT4P7ENFJJMRTXDNSSYV1CDO5,904748,N,N
6OU6ZWCO8CN6ADHP5JUI2ZV4OAS68WCH,477466,N,Y
AL2XYNRY6DNCKNI9Q7K161O6COJTWOAJ,705230,N,Y
77287TCX9D8ECIZV3K97V9O8T1QLIY8J,1339177,N,N
AU7YGVXQRSVGU4HSHGMOU30VARQKYSB4,804009,N,Y
I3RZCHRUQTBCCLMZ4OL3QT4Q18I2CPGY,250561,N,Y
QM4VRKJB4627PWR0RVV5UFV09SWKW2VN,793772,N,N
2QPNFZTB4IJBA3NAD54UPR5TXJ7FAMF6,1002314,N,N
3X6NGYPZ4K1SKDRFUETV1XAGRFLN9VUN,1179999,N,N
UCW2DWUWR23E8N1PY6RZGZ3KQ5ET1F4J,611889,N,N
P6N1FCZ2OQM1YYH2T7XG08C4LEETRK6N,822750,N,N
2KOAWZ1UASZ9BTLCCQZPH2PQEVZY51BW,1553870,N,N
FLFP0THQJTEDA3HKFRK5FDKZ82STVCCD,7307,N,Y
1P5NRFLXGITC8PWAD3DCSLFS0DAXS3IU,1287642,N,N
IQ53WXICKS1381OCQS2I4XP0H9UWASKC,1055689,N,Y
33E9F2UN7H8DYF6VSONDUNN62BQD4XKO,937558,N,N
XYXO63P74NLA9FXE8OK693VIC989LJI0,1284791,N,Y
TSMB851CF7PMXMW62QSRMY7J9CHFMZ9C,1374857,N,N
0FNBBTBXRLJPTTVOWDYPLVQCYU6M83XP,477459,N,Y
664XQGLDQ9S9989IWZ5XCWQOPUAH0CKC,1003202,N,Y
4AT8I306MOEJE9XSFPPJWRX2NA2JZHLU,644922,N,Y
Y3W9OT1DVSU2M4E0QW62DG8UK66HE8BV,511536,N,Y
FJT5QBFZU3M6UM34A6MV3HFAG1DGHJZ3,932378,N,N
Y0J9U8H90SOYV4H1XF5EQ520MZO7BEG8,870033,N,Y
ICMBYRJJ321IFGPL4MUQSMZBL7DXCPLA,247029,N,N
NOSGI7QXXPJABVZZLGRNEE6RNB3SXJBA,246216,N,N
7QKFU7FMQUQ1SK44KNNE3PFTNYJCBVL3,459441,N,Y
USGBQFEPR3ZTZEL4CVWKYWLCGFGV8EV8,750918,N,N
1853ZNS26RUN57G42KJAKYSKBRYMCMN2,530813,N,Y
U537WBF4DG4AMJV31VNCM67C7QONSYGE,1028746,N,N
6CJ6ISGOFJC580LI2WZ2S6QEJR0U8AYM,135665,N,Y
5PRWO53YDM7CJDEXHOMUDD7CN4XXJRLU,927974,N,Y
BT3MUGON92PHZBY4ZHTHEIU0ZX3E18VF,605431,N,Y
2Q4FZDPL60BPC8UCTWOKI4014L1P6EMR,1480547,N,Y
ZNGNQ3PYS3LYVTL0HBY6XOETEHWZCUAS,756584,N,N
JXUGB6PYOLIDTWWC497ZJF7BZ20VC0Z0,678359,N,Y
BCY19XRHY1ES53HIGT98O4HTYN122DXL,1188489,N,Y
B1NIM2ZFHBUPCINTYIWZXHYTAY7QTIA7,976925,N,N
K9NKR0FRSR8DIS8S0C4KXCU1B8M2NAWS,960071,N,Y
6H685T1YN65Q78GY1CVBJ3ZX378F342M,1478734,N,N
9YYKLWRXFOM27P1MD377LUD5AC4CVXEY,1651236,N,Y
MXUH581BW9ZMMKG669XFS85S728S9K1X,600208,N,Y
KFBMWQKHND8ZHMJSQVFIW4DIQQUOPQJH,687869,N,N
3JZU91HLHNTSQ2P3YJUE3QD1O1MYLZRD,1084596,N,N
Z77384CMIWN4AX3HXN7OS2PW4CTS726G,1259987,N,Y
N88AIMU1OGYGN381BKR5LO8LKID753JA,789540,N,Y
C6GYQ8DWFVHUTZV1XNCAMOGBTZGKDSSW,490936,N,Y
7NMN0Z9MI7EDTEEV8O2U84OMZ90MZXOH,257169,N,N
1KQ7ZZDV0J77YWZ5QBQZGNHRPAR1JXQJ,918468,N,N
RORX1DA3H24JTN886ETYSRWB6UEFVGP0,961239,N,N
2NWZ5A7TZQ4F7HQ8IX4SWHR6WEYNXFZ1,1105009,N,Y
1R4UZTTRMU6GQH2BZJ0ZK1YVJG20LNJK,1021994,N,Y
0YAP19BM5PEMQ5U0PMGIW9CY8CGKXBJN,1521297,N,N
4TD0LRK2YP78JYNNR2Z27XLHBV561369,783532,N,Y
O58IWOAV3FKOTD37VT7QA3FTOTW2Y7WQ,868069,N,Y
OIQGKJI6MOZUKUHHAJSPUNFWB18IWIYM,1444783,N,Y
82SEA0VZIX3BXR06X8KCHI8KTAKHKXCB,452622,N,Y
60MACKEQRFK1T4N40G6HH7BAZ55VELPM,1240056,N,N
VZXRJ3TJ0IJ0G265IMAZ125Z00QAT8FF,1501592,N,N
BX3FAWADQ0ZJFGULFVJDWFJ2VDAFRFIC,1479427,N,N
J2IBN0Q7SKQ05A291B56HESYUI6BRVJ3,972697,N,N
6DISIITOE76SIO3ZDXLJCV6VIRJSVXP1,594446,N,N
RRPAKEW4MTFUTZCTQEX6CRPSU9SBG58W,695984,N,N
C3QMMULAPY1BEQX3B17WI1PY9HTWON5B,203776,N,N
KBUYWWTNXPLU3JLHNWMKWEMBDIVRS31U,840497,N,N
S0EYCUN3UQY4N3450ZWMUI4B4IQMNCI3,1108469,N,Y
QRF5TJT7RHSTWYKUUX3KKU8FFYOV6QTD,396366,N,N
RW8AQTVV2P7X7249B8FN21ATRLM9DEJ0,1157826,N,Y
M3V2GWMX7LDF3JMHR90RYBTE5YEQJG8Y,1913481,N,N
CFY1NKJTMFRKXYX798MKJ12T4LNFQ3FT,1323223,N,N
TD1T4UNJZ84SCT308O4VRNFRXKNBKLN0,1176603,N,N
W7BY5C8LEB9U917SUB6634Y84WMM3LZ2,1783629,N,Y
A4QG23X8M41BZTVDFNHK2OG7UVEMSDHE,605381,N,N
1ZRQYKKC9NPRGHW5YII3TGJELURY43V9,1236460,N,N
GLGUWT7GDBEX1L14RIS4OFT65LJWO1DM,1660820,N,N
Z55BPX7A8ENM01VWJ9GH1Y4X0EVBFW5R,1627850,N,Y
AHP4KHVSZS2FFYKQLYJ5N15VD8Q5Z9EX,648086,N,N
S8KW5PO8GZ56DU5CCJNM4NC676YGPPOF,694657,N,Y
O9UBGYHJOKMVUVM9NT1PUUVWYH6ZTG8G,130281,N,Y
KUXOY07MBEFLEFBAIDFAYQZ5KYWJOFRH,827089,N,N
06T8S84D4746F7AKPP4NK9ZAYWY4Z23S,1149003,N,Y
ZSPQQMLI6UN84V9GWDNRF56NZ6FM1VE5,1221020,N,Y
BX6IP48G3Q15DRD8XFW5MTKTX19B3TSG,947636,N,N
K92JTBDKBOAI2BY4L4I6CT89HA097O4G,688835,N,Y
ZWN4RA4ZVBRP25OXUMTZP2QDVSSWLZQM,1434170,N,N
0GFZRNS7PGRBP6EZGCAQFS3065SLE7ZM,1150172,N,N
9KXMWIX6CNWX3BFZLXC40KXQDI9BYC59,872323,N,Y
THXTNO2YQOXKYWAB64HC0RT88Q801IVG,503483,N,N
ZSCBNP2PBV3YSWC6B9VYY8E0R60IY5KC,359355,N,N
585XRQ5SYT14OKS8CXK1EFJPJV6EMMTI,1289101,N,N
72L6JBSI9SOM6QX8RASIBE2IPFA4X6RG,1323668,N,N
IDCAPN7SU1HDMPXOP0WERTVHZ6F1GJV1,743858,N,N
KZU3NKTRRUGED7KYML9ESN7GX6S0PYLQ,1174486,N,Y
SXXOINGJ54TKMVJEB25Z5JOR1SACZXXD,872728,N,N
6YRFWHCN89FQIRBRXV6BDK5XKRB2KUX6,970931,N,Y
VP6XXFG0JXS6YR6XPQD5RIWO5AH6Y4BY,486998,N,N
V6JFZQKFZSNA8WZGJZLUT8A6KFVWMF5P,1181878,N,Y
JB7KCWC1DUALD8U3IP14A5V175R53D8Q,1470945,N,Y
XPB4G80IQ4I3S0LCA2Q5CZQJRIYB1TPK,715408,N,N
0B4VUSEW752H95ANQF22VKJNINRF6KBK,1900987,N,Y
73T5T1A66DRHSNQSCE8O8VAUJY9PR2MX,618436,N,N
928P0N59GHHKYTHBJLQMRVHHPEVL7WZ6,1511019,N,Y
FBML6XOMBTMK7W4FDRWLH6HO82MNTXUF,1072500,N,Y
NIB872WMXCR5F5KSMLBD0TMACQJ6A0EG,1174238,N,N
SAGL7DCJXA66WM8IC0VCYX8N5LAMKZLQ,733950,N,N
IPUR9T3LNAWO0W74CEO7WG5R0BRYKDHU,559157,N,N
W8D5CFMZGZFIID61SN4WYZ1E72UCPX4O,1242332,N,N
N7E5FQW9IGE3CARU4GOC88AQTB13YLUY,693149,N,Y
7ROZM5XU7RVU852VQRJ6M3QPOX1K6QV3,1075559,N,N
JO78UWRCIN7ZLG4WOU7VR0PODTFDU88P,1528930,N,Y
LNA22KQIBUW6M8R1E4Z1LMEF8Y1TD4R1,973337,N,N
9IZZM4JVHCJM76B1DP5880TQ2RYW8UAR,107878,N,Y
DE5W1BBW0RAVVBYG8DRJ4JC99BQZLERP,969124,N,N
NEL97SVBVY3QVIZDJVU8B85DTDQYMO3T,1035717,N,N
74LOHKOG0LMXC98KVLY3LUT2DQBQO1ZT,637923,N,Y
2E7YBH7YHCK1CKCLZ6RQYKXQPM4H37GF,1438955,N,N
1QSH7MXQ615OHKM5VQUVWWTDZF0QS6N6,1294916,N,N
E4DXM0OL7GKIS6QR92AMLINDGD9BGGJQ,1162200,N,N
CFU4IBX89QRYKXNCAA4DPPOU348KGPC8,1342079,N,Y
3HUMR2TNC9IBYYLTBQ87YC52QYR92WOR,1410834,N,Y
LM0OM6PUZMPL8DXJ19RAMEKY7SC48GQ8,1050113,N,Y
TPGODVFOXJXIVV2AXPMAQL2PQCO999U9,1577218,N,Y
E4ND0NCEBL2CIV5S513R8IDLY37FJUQM,374936,N,Y
II43EI8O7LEQHWNNCNW4UOTRQYMUPLGL,366602,N,N
B8DFULYN1LBHQR2MXZMUVDTSR6CHLNCA,360751,N,Y
OY93CHGE8S81RG4QMOP9IWBOVB25AG9C,1625440,N,Y
FH5LUSJXL9BTUNKTNXWRP2LMOH4RHTKY,785694,N,N
AFFPVV05CCS696P9EIQX7IW2R9OZD9P1,671500,N,Y
45TB7ONGVHSOVS81SSHDUYGL8KRJGPHK,1562767,N,N
G36UGNONFB90I0UQB2DZBSUIWN6XU1B1,1069874,N,N
RPJKBTUABUZM8KRFRB7IU0J0DI88LR93,994825,N,N
OURXJY4YMTXJRK6N6VFP3CB6VOAS7SX2,1697732,N,N
G57GPUHDGMUVTIK816ZYK8KMNUTE9MOH,1289692,N,N
CBIP7WZTJQRFY5LSCR68ZEER9QAV3EN2,1145367,N,Y
ADV26Z1MTJN9I23RJ80U0U6KARI2SULE,1113554,N,N
JVPPKN0H45FO31X1INE4HESHWW70PG3I,1568235,N,N
L4ZD48GL5SBOEM419TA4YEESXWJKV2LV,938867,N,Y
L33IOLOKUO8APG1GZYZIFBTYDJVKPIK8,540843,N,N
QIKU756BYDA1UAJH9EGZU3GTIBX38RGG,1545203,N,Y
POY0WK6B3ZUKAN49R5N55VX7E7Q3JRJQ,579543,N,Y
BIQDUQ08BWDOCG3E55SKMIDKDZG11IM4,716723,N,Y
HORE4UBJKK0LUM9QYX3VGPCC274BH08Y,470676,N,Y
OLJJXPYOHN6YZ012H1K953R5ZPWSVJ1D,1090462,N,Y
01EPKM1OR9EZAC5BPNYIFV82OJ6784PL,1068886,N,N
WL51HCN8SG3VIZFR5RTDNL8LUMHWRDCC,753793,N,Y
JIJ131WLQXR0TCY8R3OV53UH71TU1JLI,1216058,N,Y
Z4ABI8NHOE8T844R3JXTNXHTB23QWIES,529484,N,N
4XHGAQ3CJ2D4VTGB7HD647OV2BW0P3SR,1226404,N,Y
5036159DHKR4RUGDLWLS8FYZGJ9T65M1,1011659,N,Y
UR4NOCMXZ8VJX4WD54RA831THERK2PJF,379883,N,Y
4AMW1JHAN08GTBQY6ZZOD982H75JY2TC,1440528,N,N
NZITTTWJN2IJ4TT55S3O4L8K1KLIPL36,794907,N,N
4E64LSC62BK0537JM4SY3WLMKMBC1UQD,711888,N,Y
TICPMG71VKWV1NFES10SCBY7C9IIMUJ5,956491,N,N
RBLEV4R7SFHP5875392TLRXRT4AGEZUK,1357596,N,Y
TBNB0RB5U26PA354GD0YXK2Y14P8ZNO4,507403,N,N
24CACBOHY9EMV51OAOEJN2QWZF9KOYRU,764254,N,N
OS3NQSNK4E1DWZ59D7G0TYM9QOO54QD2,897260,N,Y
0W83DM4HTNK4300PLGJDMGUL4R4RE8PQ,1084528,N,N
JFNHKIR991MRY2IP43VSW64FBDS9S7ZU,950721,N,N
YNF5ZOADJI6ZVDC5HT48NHU6WTWWZ9UR,870134,N,Y
3HTVPDQD8C3EXNVORI99B11M8XIWIO6A,1457308,N,N
O4PH2MIFQCS7QUQ50DIEPCCKIA72JGMI,1230631,N,Y
MQ9T4TSZC67XIYSBK4YGI9ZHYVX3F11K,1878912,N,Y
RELBTQZWLRNPU2UZ7D6O8B4YB56ORM2G,1172238,N,Y
PM7Q7B2YBVS74D6GC0UXY5SNW9WT2HA0,1101442,N,N
AN4NZADQ66OA74YWERDATGUUMSLM60NA,929624,N,Y
7GIVPVJJ3KQKN30RL1WTQ6K4MJ57CHP5,1525537,N,Y
Q221XNOVT7X5PS4IZQ4LPIGKAT08EDUI,1156672,N,N
Q9TZLH1XHEEYIGYBXP3NPSSGJTZYBPCH,671830,N,N
MG6R21AVX7RRQ1S2VV659UVBF218PY8L,1158625,N,N
AZN9QQWK10INKS35WGU27X5IST15Q1I5,1309617,N,N
KJ0XOZJHRSL5KZNDYF3H3JDDLB4NBWB1,1373752,N,Y
EP9GPVFPFBGIHGDZZUUME9403IP51LOX,1090674,N,Y
OKP1QPAF7BFY1BDLABEURYXFPRC3IBRM,326619,N,Y
1HCLUXPRIE64O4YM9KT2QIPWNWX40VQ5,827856,N,Y
X1XDBQ7RRXAGR9S5VVL8JUGFXH4NTHB1,1150126,N,N
9EB742FI7RMV6YAQTLEUCWNRI6SVA7ZE,1083077,N,Y
YNTNZKHP6BPS9EG46LXV8O0M0DBKHNJU,711390,N,N
4G0Z3U3U5C5CG5DWRBT8RCUD2BZDDWBV,1277631,N,N
AALY54XOW75JQWJR3TEIXFFFKZJ45M2J,1805280,N,Y
XEG021G43FT3USVLW07WKCT9DUY53KAZ,907932,N,N
XCFB0U9XXLQVR73LZCLLKFMD0WPUSEZM,562736,N,Y
PPQK5B6LZY64YQ9IYW81NPV9NNKW2G98,1166708,N,N
0INJU10Y53QUW1O6J90PY7YSQ3QEJ1D5,782864,N,Y
IW7T1NDLZEGJP137SMXQ40RS7A2YKED2,1183481,N,N
70KZ0VPR1S3PCFZ126F9LMMJ8N2C572L,1056890,N,Y
T2ZP4Y4TVYZXUJHY5GSDLN591LWDA1AS,581337,N,N
XFKT57S0XVKVIG8AAS0LKY6UNQZC40N7,1527391,N,N
X41U6NWM7MYQBO8HKWON0TQIRTXBGF1P,863158,N,Y
8LF186J9ZNOD1DGX34SRJVLEI4PCVQ3W,360302,N,N
N6EIS4MH0IY1ACEXTA4HOM5MTGCLOR9Y,1103834,N,Y
9J7QIC1M74PK0NEQNBFOAJ84ZH8XPBF2,1185695,N,N
XW8AU29DUQBIW9SVM5UU95ID515CHA4M,829265,N,N
NAGNGZFUPE28P2HD5JVQ2THK7EBMDVWJ,371858,N,N
E6LCXI1IEO1FBZD3N2N126IG8ZUEDMK1,290936,N,N
JGKAQRXXJVN8ZQRGMNGDO8FYKBI9KGXL,1075043,N,Y
8P496YIZEYKODJXE4E14SNMKAN9C13JS,1070514,N,N
EVZJPMOT4KX5NBPLQHC67VI9PF5YABUV,801500,N,Y
5FRICZCDE8OE9MY921J1L6O081N94TP9,1280004,N,Y
Y6FRZFZKPTC09MTTDDZSMT3406ECB18R,807762,N,Y
NQHTVNWWHRDS4D9Y9ONK1O9JP2CY6GNR,681426,N,N
Q6UC0HCJW9NN5SZV4A8KJCODW38KKFC0,671490,N,N
EJI84PUHEOVWBA5SVWE4DX2C1DMYPEPJ,1221480,N,Y
N7A2GEKXZ2Q93EWCFR02Y83LRS8N81UQ,547246,N,N
4SSCP4V6JVI5X75RGRR6IBHYHOQ6775E,1133547,N,Y
S3B7COQOX2G7YWFN0HBLP2Z4H9ONBJVS,679512,N,N
JCIHCNX54KQSOC8HEXNN57PC92O962RU,804039,N,Y
8VB221QX8XK8PAWI0C4JFMFQV88KS9P1,980479,N,Y
GY54GQ9H7XUC7K4USIOV4X6SN7J07D4Y,576977,N,N
WIRQQQ5EI4RAM4I4YVT9GEEJZXVYR9CG,1084840,N,Y
XHBAN6VTERBYCV8XFFEUVYZE6UXDVOER,929228,N,Y
QKX99FW7PGCE91SAUWSXI19LLEX8Z6Y5,756418,N,N
JEHBRLNF2XE559G8HIM657X976GBCA6H,1683349,N,N
6QO7ULL7VDOAUUGFZZ1R19AAPSG1LCHH,1275636,N,N
DBY2Z63CZOS22LW6SVVACVH5Z8LZ9AQ0,777439,N,Y
G479IPSEPRQKSNRKITFD4UUSQEOQ4LVI,1752870,N,N
T4HX4U8OR3FXAD6V28YAWGA8B5XMKHAB,342598,N,N
H12ATBIUW892U20GGA426061EC322V14,1060592,N,N
APHDGKEBMXVWTV9BVVNJ93DIR2OYZVF3,799821,N,Y
O2R9IZGQ25PP6WXV58VGUP9C5QH9ZEKX,775159,N,Y
IIY8MCJA2J3S8YSCOUE93JFR7LFP9IKM,961266,N,Y
795WE8D9SJUU17OC35OV5SGBNPD9ZH5F,1458934,N,Y
C7KL1190YFZ0NC1LMQFV5NL7PCYZI5W6,273482,N,Y
UFGX2DP0NF6GMEE9CI9IQ3EW1MWO1W8W,1110425,N,N
068QP0PWFBEWACBG3S1MMFXPGCHAG1QD,1267464,N,N
77WP7EBK4WQU2HZVD35FPA66EZ6ZPEY5,471649,N,Y
EF5QCJ4FT7OOERJPN6R9NFTHUBUHOMSP,942873,N,N
GK239JGDI38O59BO7U4SSGSIBU3REQJZ,759378,N,Y
ATGXCQ5LP7QUXGY1SQMC6FHT81RJOC86,915569,N,N
N0XXKARFAWMMUO010Q00DH196GIFY6YC,681649,N,Y
RJ63TFMYQPNOY0ZMQO3RMIVJ9JPJL5DL,500420,N,Y
9T2XCMCD40EJGHGP7LODV53IA2EN4GD9,998670,N,N
NB1GH2DS4GZL4GKS01DZAH3O6QLIQ602,1845810,N,Y
QKWUYWKW9BF44UQ2AAB2E036IHU6LEIH,1677695,N,N
8P0JK3PZBNEGXP6XXUFJYQ3EQNCS8T13,1036645,N,Y
Z2BP379BSN2TXJCUX19YVZNRG1807N79,781032,N,Y
YR02IPS8PUBRMFIWUGUVYUS38B3LUE9R,677845,N,Y
BXLP7SE4E8HYJJX3TAJP6BWOG9U5E0S2,1074412,N,N
Z39ZKG4EQZAT9KVKD3LHY9AQ5LKUZMKB,1718579,N,N
YYKM0ERYRFVVUBQFLFTK6976KGTVR1JK,1644724,N,Y
L1OUOBPCNJ29K49EJ2LNLFBDW6DQSIUO,1110556,N,N
6QSXFXBMV5HGWKT7HZ8TM36WN8RCD4SA,933961,N,Y
JRW0UONCL5B2W9P7E4SCWOQALAL8L40S,709410,N,Y
Q4FV5L7CWJQPL16T52AV9LDUVNA2476V,545475,N,Y
IYI5T5H0L94SILPCTI3QGKSYDLPYG2SW,1103608,N,N
QI74135C36U1WX7CVHBYZ7TX0K4XHKEE,742063,N,Y
SR24S9L3ELVMJVA2VDYQLSEQICHYPOH8,1453249,N,N
1D6UCZUDBIAIYAXZYFAJPC2BY2PQ8S1S,1236043,N,N
NGURR6877AE373UNH4JK9U2UN133RXNU,1225584,N,Y
SK1MLQN3T8HPE2BE6E4RK0FC4I9VQMME,854152,N,Y
E33GFW80NMJJXRRJR2566KD41DT2KIZI,1157828,N,Y
17DEJM9KZ2XG6U80MYP6MI9W2B0KHBTM,576993,N,N
COSE1XUU4NAZRTEX2WVAD1CQSGB6YPAB,1532156,N,Y
T2KWSYOZPVJQGT2AMKMOQAB66AJYOMUD,1332919,N,Y
VT1DZ6DYS4TAA88PAKG80B2YG3BDGEKT,807328,N,N
7MV5FNQA9EQU14HSPPABB68T6JX844T6,1191405,N,N
C85VFC8Z2WGX3Y3IXRFJ7NGVY49GQ2CI,953976,N,Y
LM060AP36NVJLE1JJ6NFJZQ52LFCM4H7,1061255,N,N
F2HCZQY9E84EWYPQ9818L8926MKQW0KT,556456,N,Y
GYC4LH8UQ62ES9J5WRGZXMTWHC73G45Q,796033,N,Y
3ZSGYMXSDQ27I0YPUZOLXOHI7XCY2NJZ,1294174,N,N
A3BOFVNYV8M5RKJU5LF28PABN1H4UHQG,550234,N,Y
PCO3CJAD8CT2QXM6L857E22EO0MXT9UE,1155223,N,N
OO880OUZUNNER4AUNN6AV6A9WTSM8E51,909747,N,Y
7RFNB297RPOC6RPR3MC10CFW1BV5H7TI,1795550,N,Y
VE8TOWCQFDU83DQ3EUZ1YHHKMC8XBIB0,1111048,N,Y
TK5E9CHFM1XOZ4CGPWXPE07J78YTHWGX,930029,N,Y
O0TPVFA3W5HTQYT4L0EE5HI5V8X3X0SQ,976960,N,N
489FVT6XSV3APR4WO3BTSHLWK6QQC2OU,397507,N,Y
TC6LYV68TLF7YBYXL5M53DK1G9XW50NZ,1040858,N,N
VNHNDSV6NRXKSFNX3ZGDDWE6RZGTACGV,932149,N,N
T4TUE5DVIDX194C75GYCQHEYUAQ3DN1S,734049,N,N
6O70X5YWWHATIW56AVIG5T39B4IPS9KI,976474,N,N
8H2KFRDN48GXJ59ITC19X5YPRFZ1RBM8,1122250,N,N
ZTQENDBGHGD0Y9X8FZLA2HWQXJZ53ELN,1290241,N,N
8XJMRL1E9GFKQOYOHOF8C44Y81OF3C9K,540998,N,Y
YBPBLV3EV3PXSIUQ0FPVRMYHQOCYT31W,1108501,N,Y
T5JAKXQLX9U53LAX5BD43XCH8E2GAG4Z,1285854,N,Y
YGOO3SHY8GLFV8MQQQZK0ACLTR97DIW2,1196321,N,Y
B38IECEJNSGX0FJEMDVR7J67V57LARH4,717785,N,N
VTZXRE0VORMRDOZ6ENS7XJZJQAP0Y1WO,110323,N,Y
N900JZHER9AP4BGSYWWDDJVL8PUYHJ76,1173169,N,Y
5MA1PAXAVMIJ2PGB6LACOK0KL35XFM8S,844613,N,Y
TVQARIZBDMBA8E012KHFEECKRN48Y6QY,1214888,N,N
G322X9TM0KXLXHR97S05ORPC2O87LLU8,1084639,N,N
U0UAY6VWDVYJJZSW25O73XBU6EF4PWAF,1465251,N,N
46APUEVPPZH3DFGIQERINBWFS16OTMIV,1389634,N,N
EUQRJJY31I3VOTXNXFVTWCC4FIGYZ1KS,1115458,N,N
W7SV94KKACORMIJFY5HLD2GZQEJ2ID74,944284,N,Y
4T488660MUDG6UY1VMXI6LWY0LGSCJU9,766976,N,Y
VQCWCXXRB9RU12QQC8MZ5CJ6LVXL3RAI,605431,N,N
HHS8O9L5H1GPY3US1HL3EPUTQW254Z8Y,421275,N,Y
G48YF9KE5PO8AE93PA3S6TALXFZ7X0C4,146135,N,Y
QDUYPXA2RRQ61Q6H578ZDE4C2AWN5I9H,1407559,N,N
J7OVJT56W1YM89C4DHOPTNXTOMAZFBH2,1579231,N,Y
9PZ2VL9V3MPRL8QBDS7C6DHIXU8KNUFC,1413211,N,N
B9WI89AOM78KYQ1SEMWCHSQI1RWZEBKK,597477,N,Y
3ZXOVDJIWPF9U6L59NXRFXVSCI5FCGE7,1188349,N,N
W2K2QYPTRG1UGV98N7MI0XC28UPKBODH,1269576,N,N
USSTEZ9U64UPW9IXRWU2EKA0MHXVMWAR,1051848,N,N
6CUG3PH57WX317K923CCUZZWE61E8EYM,687953,N,N
10Y8VU68VO3XQJ4EYD70R8POMNTKM6ZJ,900514,N,N
QVEQEDUXLCJDWH0353QDI6E8G7NW1TGX,1251442,N,Y
ABV29PHTTUSSCKRPBBT5BYK1NLAKGJND,1864711,N,N
8XTF1MWIP9KQOSS46LHF36KRP1JAJ0Z4,1543901,N,Y
KSNXY2XUUCZJWIQQAZP74BPY8VQUWXOC,489808,N,N
IT1A5D0L0NR6PS3GM22G8WBNL7GC8DQF,1005711,N,Y
6T0MGSU8CG94212N9EGXV52SMYHWB2QF,699970,N,N
9OBJNTLVML7HC6XP3JTYECP769JA2NQF,867965,N,Y
AKZVZMIWQ8NCY419ULJ4OJZOIFUUIL32,677246,N,N
ZNTX10ALSV96S5P3UXMMK6QXHNQAKAC5,401084,N,Y
RXEBENELC00ZWWW420RTWTU7YG1M0GIB,906134,N,N
ZSB03FFST4BEF9JWTQE0UZAZJ06DIAOP,1088924,N,Y
